2017-04-24 09:52:21, -21, 984
2017-04-24 09:52:22, -21, 946
2017-04-24 09:52:22, -20, 1041
2017-04-24 09:52:23, -21, 1041
2017-04-24 09:52:24, -21, 1007
2017-04-24 09:52:24, -21, 1056
2017-04-24 09:52:24, -21, 984
2017-04-24 09:52:24, -20, 1155
2017-04-24 09:52:25, -20, 1114
2017-04-24 09:52:26, -20, 1337
2017-04-24 09:52:26, -20, 1191
2017-04-24 09:52:26, -21, 1200
2017-04-24 09:52:27, -21, 969
2017-04-24 09:52:28, -20, 1142
2017-04-24 09:52:28, -21, 981
2017-04-24 09:52:29, -21, 1136
2017-04-24 09:52:33, -18, 1307
2017-04-24 09:52:33, -19, 1312
2017-04-24 09:52:37, -21, 912
2017-04-24 09:52:38, -20, 1350
2017-04-24 09:52:43, -21, 1008
2017-04-24 09:52:46, -21, 969
2017-04-24 09:52:46, -21, 912
2017-04-24 09:52:47, -19, 1241
2017-04-24 09:52:50, -20, 1143
2017-04-24 09:52:51, -21, 912
2017-04-24 09:52:52, -20, 1034
2017-04-24 09:52:55, -20, 1040
2017-04-24 09:52:55, -21, 1052
2017-04-24 09:52:57, -20, 1030
2017-04-24 09:52:58, -20, 1256
2017-04-24 09:52:59, -21, 987
2017-04-24 09:52:59, -21, 1056
2017-04-24 09:53:00, -17, 1398
2017-04-24 09:53:00, -21, 986
2017-04-24 09:53:01, -21, 1056
2017-04-24 09:53:01, -21, 984
2017-04-24 09:53:04, -21, 1090
2017-04-24 09:53:04, -19, 1167
2017-04-24 09:53:04, -21, 1052
2017-04-24 09:53:05, -20, 1100
2017-04-24 09:53:06, -21, 1056
2017-04-24 09:53:07, -19, 1235
2017-04-24 09:53:07, -20, 1191
2017-04-24 09:53:07, -19, 1134
2017-04-24 09:53:07, -21, 946
2017-04-24 09:53:08, -19, 1121
2017-04-24 09:53:08, -20, 1079
2017-04-24 09:53:10, -21, 1018
2017-04-24 09:53:14, -19, 1505
2017-04-24 09:53:18, -17, 1426
2017-04-24 09:53:22, -21, 1121
2017-04-24 09:53:24, -20, 1316
2017-04-24 09:53:25, -20, 1102
2017-04-24 09:53:25, -18, 1360
2017-04-24 09:53:27, -20, 1125
2017-04-24 09:53:28, -21, 946
2017-04-24 09:53:30, -20, 1101
2017-04-24 09:53:31, -20, 1301
2017-04-24 09:53:31, -21, 1193
2017-04-24 09:53:33, -21, 1018
2017-04-24 09:53:34, -20, 1112
2017-04-24 09:53:34, -21, 935
2017-04-24 09:53:35, -19, 1269
2017-04-24 09:53:36, -21, 1088
2017-04-24 09:53:37, -20, 1140
2017-04-24 09:53:38, -20, 1113
2017-04-24 09:53:38, -21, 912
2017-04-24 09:53:39, -21, 1089
2017-04-24 09:53:39, -20, 1168
2017-04-24 09:53:39, -21, 1018
2017-04-24 09:53:40, -20, 1186
2017-04-24 09:53:42, -20, 1006
2017-04-24 09:53:42, -21, 1054
2017-04-24 09:53:43, -21, 1054
2017-04-24 09:53:44, -20, 1178
2017-04-24 09:53:44, -21, 1127
2017-04-24 09:53:45, -19, 1155
2017-04-24 09:53:48, -20, 1133
2017-04-24 09:53:48, -21, 1018
2017-04-24 09:53:49, -20, 1354
2017-04-24 09:53:54, -20, 1361
2017-04-24 09:53:54, -20, 1080
2017-04-24 09:53:54, -21, 912
2017-04-24 09:53:56, -20, 1030
2017-04-24 09:53:59, -21, 912
2017-04-24 09:54:00, -21, 1052
2017-04-24 09:54:01, -20, 1035
2017-04-24 09:54:02, -20, 1134
2017-04-24 09:54:03, -21, 912
2017-04-24 09:54:04, -20, 1078
2017-04-24 09:54:04, -20, 1001
2017-04-24 09:54:08, -20, 1078
2017-04-24 09:54:08, -20, 1133
2017-04-24 09:54:09, -21, 1052
2017-04-24 09:54:10, -21, 1131
2017-04-24 09:54:11, -21, 980
2017-04-24 09:54:11, -21, 912
2017-04-24 09:54:11, -21, 1080
2017-04-24 09:54:14, -21, 1088
2017-04-24 09:54:16, -20, 1007
2017-04-24 09:54:16, -20, 1184
2017-04-24 09:54:17, -21, 992
2017-04-24 09:54:18, -20, 1151
2017-04-24 09:54:19, -20, 1260
2017-04-24 09:54:20, -20, 1292
2017-04-24 09:54:20, -20, 1109
2017-04-24 09:54:20, -21, 1004
2017-04-24 09:54:21, -20, 1188
2017-04-24 09:54:24, -20, 1373
2017-04-24 09:54:27, -18, 1330
2017-04-24 09:54:28, -21, 1199
2017-04-24 09:54:28, -20, 1034
2017-04-24 09:54:29, -21, 984
2017-04-24 09:54:30, -21, 912
2017-04-24 09:54:31, -21, 1115
2017-04-24 09:54:31, -21, 946
2017-04-24 09:54:35, -21, 984
2017-04-24 09:54:37, -19, 1300
2017-04-24 09:54:39, -20, 1134
